indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
3365,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Gender roles and issues,Sex (not extramarital),Drives and emotions,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3366,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,.,Extramarital sex relations (adultery),.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3367,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,.,Extramarital sex relations (adultery),.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
3368,.,Sex (not extramarital),.,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Interpersonal relations (includes love),Cultural identity and pride,Offenses and sanctions,Sex (not extramarital),Drives and emotions,Acculturation and culture contact,Gender roles and issues,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,All ages,.,.,.,.,.,.,.,.
3369,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,.,Fauna,Territorial organization (includes towns and cities),Puberty and initiation,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3370,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Ideas about nature and people,Fauna,Human Biology,Human Biology,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3371,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Flora,Hunting and trapping,Gender roles and issues,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3372,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Ideas about nature and people,Flora,Flora,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3373,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Interpersonal relations (includes love),.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3374,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Travel and transportation,Travel and transportation,Interpersonal relations (includes love),.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3375,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Territorial organization (includes towns and cities),Travel and transportation,Flora,Interpersonal relations (includes love),.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3376,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Gender roles and issues,Tools and appliances (not weapons),Interpersonal relations (includes love),.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3377,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Ideas about nature and people,.,Fauna,Flora,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3378,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Gender roles and issues,Ideas about nature and people,.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3379,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Interpersonal relations (includes love),.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3380,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Ideas about nature and people,Interpersonal relations (includes love),Interpersonal relations (includes love),.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3381,Interpersonal relations (includes love),Puberty and initiation,Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Ideas about nature and people,Fauna,Interpersonal relations (includes love),Interpersonal relations (includes love),.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3382,Puberty and initiation,Sex (not extramarital),Friendships,Interpersonal relations (includes love),Sex (not extramarital),.,Interpersonal relations (includes love),Sex (not extramarital),.,Puberty and initiation,Sex (not extramarital),Drives and emotions,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3383,Puberty and initiation,Sex (not extramarital),Friendships,Interpersonal relations (includes love),Sex (not extramarital),.,Interpersonal relations (includes love),Sex (not extramarital),.,Drives and emotions,Sex (not extramarital),Flora,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3384,Puberty and initiation,Sex (not extramarital),Friendships,Interpersonal relations (includes love),Sex (not extramarital),.,Interpersonal relations (includes love),Sex (not extramarital),.,Sex (not extramarital),Puberty and initiation,Puberty and initiation,Ideas about nature and people,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3385,Puberty and initiation,Sex (not extramarital),Friendships,Interpersonal relations (includes love),Sex (not extramarital),.,Interpersonal relations (includes love),Sex (not extramarital),.,Puberty and initiation,Sex (not extramarital),.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3386,Puberty and initiation,Sex (not extramarital),Friendships,Interpersonal relations (includes love),Sex (not extramarital),.,Interpersonal relations (includes love),Sex (not extramarital),.,Sex (not extramarital),Labor,Labor,Friendships,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3387,Puberty and initiation,Sex (not extramarital),Friendships,Interpersonal relations (includes love),Sex (not extramarital),.,Interpersonal relations (includes love),Sex (not extramarital),.,Sex (not extramarital),Puberty and initiation,Human Biology,Human Biology,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3388,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Location,Gender roles and issues,Interpersonal relations (includes love),.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3389,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Location,Gender roles and issues,.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3390,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Flora,Drives and emotions,Interpersonal relations (includes love),.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3391,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Location,Communication,Interpersonal relations (includes love),Interpersonal relations (includes love),.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3392,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Location,Interpersonal relations (includes love),.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3393,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Dwellings,Interpersonal relations (includes love),Drives and emotions,Drives and emotions,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3394,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Drives and emotions,.,.,.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3395,Interpersonal relations (includes love),Puberty and initiation,Puberty and initiation,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Gender roles and issues,Communication,Communication,Interpersonal relations (includes love),.,.,.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3396,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Gender roles and issues,Labor,Water and thirst,Water and thirst,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3397,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Location,Interpersonal relations (includes love),Fauna,Fauna,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3398,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Numbers and measures,.,Travel and transportation,.,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3399,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Gender roles and issues,Marriage,Marriage,Ideas about nature and people,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3400,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Location,Interpersonal relations (includes love),Interpersonal relations (includes love),Gender roles and issues,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3401,Sex (not extramarital),Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Communication,.,Fauna,Flora,Flora,Sex (not extramarital),.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3402,Sex (not extramarital),Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Communication,.,Ideas about nature and people,Flora,Interpersonal relations (includes love),Interpersonal relations (includes love),.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3403,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Daily routine,Sex (not extramarital),Interpersonal relations (includes love),Human Biology,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3404,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Hunting and trapping,Fishing,Flora,Fauna,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3405,Sex (not extramarital),Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Communication,.,Ideas about nature and people,Food consumption,"Food processing (includes food preparation, storage, and preservation)",Sex (not extramarital),.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3406,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Ideas about nature and people,Fauna,Infancy and childhood,Infancy and childhood,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3407,.,.,.,Interpersonal relations (includes love),Communication,.,.,.,.,Interpersonal relations (includes love),Water and thirst,Ideas about nature and people,Travel and transportation,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3408,.,.,.,Interpersonal relations (includes love),Communication,.,.,.,.,Flora,Fauna,Water and thirst,Friendships,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3409,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Flora,Gender roles and issues,Sex (not extramarital),Sex (not extramarital),.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3410,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Fauna,Friendships,Gender roles and issues,.,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3411,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Location,Interpersonal relations (includes love),Gender roles and issues,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3412,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,"Family (includes nuclear family, polygamy, adoption)",Gender roles and issues,Sex (not extramarital),Sex (not extramarital),.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3413,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Flora,Ideas about nature and people,Sex (not extramarital),Interpersonal relations (includes love),.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3414,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Numbers and measures,Sex (not extramarital),Interpersonal relations (includes love),Gender roles and issues,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3415,Interpersonal relations (includes love),Sex (not extramarital),Sex (not extramarital),Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Sex (not extramarital),Gender roles and issues,.,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3416,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Location,Interpersonal relations (includes love),Travel and transportation,Ideas about nature and people,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3417,Interpersonal relations (includes love),Cultural identity and pride,.,Interpersonal relations (includes love),Communication,.,.,.,.,Interpersonal relations (includes love),Sex (not extramarital),Location,Gender roles and issues,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3418,Marriage,"Family (includes nuclear family, polygamy, adoption)",.,Communication,Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Ingroup antagonisms,Interpersonal relations (includes love),.,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,Female,Unmarried,Other group (incl. proper names),.,Solo listener,Adolescent/young adult,.,.,.,.,.,.,.,.
3419,Marriage,"Family (includes nuclear family, polygamy, adoption)",.,Communication,Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Ingroup antagonisms,Drives and emotions,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,Female,Unmarried,Other group (incl. proper names),.,Solo listener,Adolescent/young adult,.,.,.,.,.,.,.,.
3420,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Marriage,Interpersonal relations (includes love),.,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adolescent/young adult,.,.,.,.,.,.,.,.
3421,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Ideas about nature and people,Ideas about nature and people,Ideas about nature and people,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adolescent/young adult,.,.,.,.,.,.,.,.
3422,Marriage,Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Location,Drives and emotions,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adult,.,.,Married,Adults,.,.,.,.
3423,Marriage,Sex (not extramarital),.,Communication,Socialization and education,.,Communication,Socialization and education,Sex (not extramarital),Ideas about nature and people,Recreational and non-therapeutic drugs,Water and thirst,Sex (not extramarital),.,.,.,.,.,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,Unmarried,Adolescents,.,.,.,.
3424,Marriage,Sex (not extramarital),.,Communication,Socialization and education,.,Communication,Socialization and education,Sex (not extramarital),Ideas about nature and people,Interpersonal relations (includes love),Sex (not extramarital),Water and thirst,.,.,.,.,.,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,Unmarried,Adolescents,.,.,.,.
3425,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Property,Location,.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adolescent/young adult,.,.,.,.,.,.,.,.
3426,Marriage,"Family (includes nuclear family, polygamy, adoption)",.,Communication,Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Tools and appliances (not weapons),Ingroup antagonisms,Interpersonal relations (includes love),.,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,Female,Unmarried,Other group (incl. proper names),.,Solo listener,Adolescent/young adult,.,.,.,.,.,.,.,.
3427,Marriage,Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),Location,Drives and emotions,Drives and emotions,.,.,.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adult,.,.,Married,Adults,.,.,.,.
